Title,Year,Director,Casting,Ratings,genre
American Psycho,2000,Mary Harron,"Christian Bale,Willem Dafoe,Jared Leto,Josh Lucas",69,horror
It's Alive,1973,Larry Cohen,"John P. Ryan,Sharon Farrell,Andrew Duggan,Guy Stockwell",73,horror
Black Sheep,2006,Jonathan King,"Nathan Meister,Danielle Mason,Tammy Davis,Peter Feeney",72,horror
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,"Robert Englund,Patricia Arquette,Laurence Fishburne,Heather Langenkamp",72,horror
The Mist,2007,Frank Darabont,"Thomas Jane,Marcia Gay Harden,Laurie Holden,Andre Braugher",71,horror
Hellraiser,1987,Clive Barker,"Sean Chapman,Clare Higgins,Andrew Robinson,Ashley Laurence",73,horror
Black Christmas,1974,Bob Clark,"Olivia Hussey,Keir Dullea,Margot Kidder,John Saxon",71,horror
Open Water,2004,Chris Kentis,"Blanchard Ryan,Daniel Travis,Saul Stein,Estelle Lau",71,horror
The Ring,2002,Gore Verbinski,"Naomi Watts,Martin Henderson,David Dorfman,Brian Cox",71,horror
Jacob's Ladder,1990,Adrian Lyne,"Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven",73,horror
Basket Case,1982,Frank Henenlotter,"Kevin Van Hentenryck,Sean McCabe,Terri Susan Smith,Ilze Balodis",76,horror
Phantasm,1979,Don Coscarelli,"A. Michael Baldwin,Reggie Bannister,Bill Thornbury,Angus Scrimm",74,horror
Frailty,2002,Bill Paxton,"Bill Paxton,Matthew McConaughey,Matt O'Leary,Jeremy Sumpter",74,horror
Bram Stoker's Dracula,1992,Francis Ford Coppola,"Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves",75,horror
Eden Lake,2008,James Watkins,"Kelly Reilly,Michael Fassbender,Tara Ellis,Jack O'Connell",79,horror
Dog Soldiers,2002,Neil Marshall,"Sean Pertwee,Kevin Mckidd,Emma Cleasby,Liam Cunningham",79,horror
Oculus,2014,Mike Flanagan,"Karen Gillan,Brenton Thwaites,Rory Cochrane,Katee Sackhoff",74,horror
Land of the Dead,2005,George A. Romero,"Simon Baker,Asia Argento,Dennis Hopper,John Leguizamo",74,horror
Candyman,1992,Bernard Rose,"Virginia Madsen,Tony Todd,Xander Berkeley,Kasi Lemmons",75,horror
Wes Craven's New Nightmare,1994,Wes Craven,"David Newson,Robert Englund,Heather Langenkamp,Miko Hughes",79,horror
Night of the Comet,1984,Thom Eberhardt,"Catherine Mary Stewart,Kelli Maroney,Robert Beltran,Sharon Farrell",79,horror
The Lost Boys,1987,Joel Schumacher,"Corey Haim,Jason Patric,Dianne Wiest,Jason Hain",76,horror
Videodrome,1983,David Cronenberg,"James Woods,Sonja Smits,Deborah Harry,Peter Dvorsky",78,horror
Creature from the Black Lagoon,1954,Jack Arnold,"Richard Carlson,Julie Adams,Richard Denning,Antonio Moreno",79,horror
Southbound,2016,David Bruckner,"Chad Villella,Matt Bettinelli-Olpin,Kristina Pesic,Tallulah Mounce",81,horror
VFW,2020,Joe Begos,"Stephen Lang,William Sadler,Martin Kove,David Patrick Kelly",83,horror
Lights Out,2016,David F. Sandberg,"Teresa Palmer,Gabriel Bateman,Maria Bello,Alexander DiPersia",76,horror
Scream,1996,Wes Craven,"David Arquette,Neve Campbell,Courteney Cox,Drew Barrymore",79,horror
Trick 'r Treat,2007,Michael Dougherty,"Anna Paquin,Brian Cox,Dylan Baker,Leslie Bibb",83,horror
Bakjwi (Thirst),2009,Park Chan-wook,"Ok-bin Kim,Shin Ha-Gyun,Kim Hae-suk,Oh Dal-su",80,horror
The Cat o' Nine Tails (Il gatto a nove code),1971,Dario Argento,"Karl Malden,James Franciscus,Catherine Spaak,Cinzie De Carolis",82,horror
Mute Witness,1995,Anthony Waller,"Marina Zudina,Marina Sudina,Fay Ripley,Evan Richards",83,horror
The Brood,1979,David Cronenberg,"Oliver Reed,Samantha Eggar,Art Hindle,Nuala Fitzgerald",83,horror
1408,2007,Mikael Håfström,"John Cusack,Samuel L. Jackson,Mary McCormack,Tony Shalhoub",79,horror
You're Next,2013,Adam Wingard,"Sharni Vinson,Nicholas Tucci,Wendy Glenn,AJ Bowen",79,horror
Audition (Ôdishon),1999,Takashi Miike,"Ryo Ishibashi,Eihi Shiina,Miyuki Matsuda,Renji Ishibashi",82,horror
Three...Extremes (Saam gaang yi),2005,Takashi Miike,"Miriam Yeung,Pauline Lau,Zabit Memedov,Miki Yeung",84,horror
Scream 2,1997,Wes Craven,"Neve Campbell,Courteney Cox,David Arquette,Sarah Michelle Gellar",81,horror
Dead Ringers,1988,David Cronenberg,"David A. Hughes,Jeremy Irons,Geneviève Bujold,Heidi von Palleske",83,horror
A Tale of Two Sisters,2003,Kim Jee-woon,"Su-jeong Lim,Lim Su-jung,Kab-su Kim,Jeong-Ah Yeom",85,horror
Pontypool,2009,Bruce McDonald,"Stephen McHattie,Lisa Houle,Georgina Reilly,Hrant Alianak",84,horror
Ouija: Origin of Evil,2016,Mike Flanagan,"Annalise Basso,Elizabeth Reaser,Lulu Wilson,Henry Thomas",82,horror
The Shallows,2016,Jaume Collet-Serra,"Blake Lively,Oscar Jaenada,Sedona Legge,Brett Cullen",78,horror
Shadow of the Vampire,2000,E. Elias Merhige,"John Malkovich,Willem Dafoe,Udo Kier,Cary Elwes",82,horror
Shivers (They Came from Within) (The Parasite Murders),1975,David Cronenberg,"Paul Hampton,Joe Silver,Alan Migicovsky,Lynn Lowry",85,horror
The House of the Devil,2009,Ti West,"Jocelin Donahue,Greta Gerwig,Mary Woronov,Tom Noonan",85,horror
Scary Stories to Tell in the Dark,2019,André Øvredal,"Zoe Margaret Colletti,Michael Garza,Gabriel Rush,Austin Abrams",78,horror
Dracula: Pages From a Virgin's Diary,2003,Guy Maddin,"Wei-Qiang Zhang,Zhang Wei-Qiang,Tara Birtwhistle,Zhang Wei-Qiang",87,horror
Tucker and Dale vs. Evil,2011,Eli Craig,"Alan Tudyk,Tyler Labine,Katrina Bowden,Jesse Moss",85,horror
The Others,2001,Alejandro Amenábar,"Nicole Kidman,Alakina Mann,James Bentley,Fionnula Flanagan",83,horror
Tremors,1990,Ron Underwood,"Kevin Bacon,Fred Ward,Finn Carter,Rhonda Le Beck",86,horror
Creep,2015,Patrick Brice,"Mark Duplass,Patrick Brice",89,horror
Carnival of Souls,1962,Herk Harvey,"Candace Hilligoss,Herk Harvey,Frances Feist,Sidney Berger",86,horror
[Rec],2007,Jaume Balagueró,"Manuela Velasco,Pablo Rosso,Martha Carbonell,Jorge-Yamam Serrano",89,horror
Paranormal Activity,2009,Oren Peli,"Katie Featherston,Micah Sloat,Mark Fredrichs,Amber Armstrong",83,horror
The Conjuring 2,2016,James Wan,"Vera Farmiga,Patrick Wilson,Frances O'Connor (II) ,Madison Wolfe",80,horror
Come to Daddy,2020,Ant Timpson,"Elijah Wood,Stephen McHattie,Martin Donovan,Michael Smiley",86,horror
The Girl With All the Gifts,2017,Colm McCarthy,"Gemma Arterton,Paddy Considine,Glenn Close,Sennia Nanua",85,horror
"Goodnight Mommy (Ich seh, Ich seh)",2015,Veronika Franz,"Susanne Wuest,Lukas Schwarz Thorsteinsson,Elias Schwarz,Hans Escher",85,horror
House On Haunted Hill,1959,William Castle,"Vincent Price,Carol Ohmart,Annabelle Ohmart,Alan Marshal",88,horror
